title,description,endDate,yesPrice,noPrice
Will there be more than 375 tornadoes in April?,"If the preliminary number of tornadoes in Apr is above 375 , then the market resolves to Yes.",2025-05-01T14:00:00Z,0.55,0.88
"Top USA Artist on Spotify on Apr 27, 2025?","If Zach Bryan is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Tyler, The Creator is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Travis Scott is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If The Weeknd is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If SZA is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Post Malone is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Playboi Carti is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Kanye West is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
"Top USA Artist on Spotify on Apr 27, 2025?","If Future is #1 on the Daily Top Artists USA chart on the chart dated Apr 27, 2025, then the market resolves to Yes.",2025-05-11T14:00:00Z,0.05,1.0
