title,description,endDate,yesPrice,noPrice
Arsenal wins the Premier League?,"This market will resolve to “Yes” if Arsenal is the 2024-25 Premier League Champion. Otherwise, the market will resolve to “No”.

If it is a mathematical certainty Arsenal will win, this market will immediately resolve to “Yes.” Likewise, if it becomes mathematically impossible for Arsenal to win, this market will immediately resolve to “No.” Potential retroactive points deductions past these points will have no bearing on this market’s resolution.",2025-05-25T12:00:00Z,0.0005,0.9995
Liverpool wins the Premier League?,"This market will resolve to “Yes” if Liverpool is the 2024-25 Premier League Champion. Otherwise, the market will resolve to “No”.

If it is a mathematical certainty Liverpool will win, this market will immediately resolve to “Yes.” Likewise, if it becomes mathematically impossible for Liverpool to win, this market will immediately resolve to “No.” Potential retroactive points deductions past these points will have no bearing on this market’s resolution.",2025-05-25T12:00:00Z,0.9985,0.0015
Will Arsenal win the UEFA Champions League?,"This market will resolve to “Yes” if Arsenal wins the 2024-25 UEFA Champions League. Otherwise, this market will resolve to “No”.

If at any point it becomes impossible for this team to win the 2024-2025 UEFA Champions League based on the rules of the tournament (e.g. they are eliminated), this market will resolve immediately to “No”.",2025-05-31T12:00:00Z,0.255,0.745
Will Inter Milan win the UEFA Champions League?,"This market will resolve to “Yes” if Inter Milan wins the 2024-25 UEFA Champions League. Otherwise, this market will resolve to “No”.

If at any point it becomes impossible for this team to win the 2024-2025 UEFA Champions League based on the rules of the tournament (e.g. they are eliminated), this market will resolve immediately to “No”.",2025-05-31T12:00:00Z,0.1545,0.8455
Will Paris Saint-Germain win the UEFA Champions League?,"This market will resolve to “Yes” if Paris Saint-Germain wins the 2024-25 UEFA Champions League. Otherwise, this market will resolve to “No”.

If at any point it becomes impossible for this team to win the 2024-2025 UEFA Champions League based on the rules of the tournament (e.g. they are eliminated), this market will resolve immediately to “No”.",2025-05-31T12:00:00Z,0.267,0.733
Will Real Madrid win La Liga?,"This market will resolve to “Yes” if Real Madrid is the 2024-25 La Liga Champion. Otherwise, the market will resolve to “No”.

If it is a mathematical certainty Real Madrid will win, this market will immediately resolve to “Yes.” Likewise, if it becomes mathematically impossible for Real Madrid to win, this market will immediately resolve to “No.” Potential retroactive points deductions past these points will have no bearing on this market’s resolution.",2025-05-25T12:00:00Z,0.16,0.84
Will Barcelona win La Liga?,"This market will resolve to “Yes” if Barcelona is the 2024-25 La Liga Champion. Otherwise, the market will resolve to “No”.

If it is a mathematical certainty Barcelona will win, this market will immediately resolve to “Yes.” Likewise, if it becomes mathematically impossible for Barcelona to win, this market will immediately resolve to “No.” Potential retroactive points deductions past these points will have no bearing on this market’s resolution.",2025-05-25T12:00:00Z,0.84,0.16
Will another team win La Liga?,"This market will resolve to “Yes” if any team other than Real Madrid, Barcelona, Atletico Madrid, Girona FC, Athletic Bilbao, Real Sociedad, Real Betis, Villarreal CF, RC Celta de Vigo, Valencia CF, or Sevilla FC is the 2024-25 La Liga Champion. Otherwise, this market will resolve to “No.”

",2025-05-25T12:00:00Z,0.0015,0.9985
Will Erling Haaland be the top goalscorer in the EPL?,"This market will resolve to “Yes” if Erling Haaland is the top goalscorer for the 2024/2025 English Premier League season. Otherwise this market will resolve to “No”.

If multiple players tie for the most goals in the 2024/2025 English Premier League season, the market will resolve based on most assists, then most games played, and finally the player's last name alphabetically if ties persist.

The primary resolution source for this market will be official information from the English Premier League. However, a consensus of credible reporting may also be used.",2025-05-25T12:00:00Z,0.0015,0.9985
Will Mohamed Salah be the top goalscorer in the EPL?,"This market will resolve to “Yes” if Mohamed Salah is the top goalscorer for the 2024/2025 English Premier League season. Otherwise, this market will resolve to “No.”

If multiple players tie for the most goals in the 2024/2025 English Premier League season, the market will resolve based on most assists, then most games played, and finally the player’s last name alphabetically if ties persist.

The primary resolution source for this market will be official information from the English Premier League. However, a consensus of credible reporting may also be used.",2025-05-25T12:00:00Z,0.9855,0.0145
